date,Commo_3F
1977-04-30,-0.024543262630731214
1977-05-31,0.01242922900502038
1977-06-30,-0.02422667166909653
1977-07-31,0.02476553863681877
1977-08-31,-0.012274910701756202
1977-09-30,-0.01770727015116338
1977-10-31,0.015288670461639143
1977-11-30,-0.001443636038564277
1977-12-31,0.03255171446327818
1978-01-31,0.013968811113369598
1978-02-28,0.052227685347876085
1978-03-31,0.016777931525171368
1978-04-30,0.005719579546268178
1978-05-31,0.001962471447789248
1978-06-30,0.014111836514101774
1978-07-31,0.018105158402799606
1978-08-31,-0.019495034318887886
1978-09-30,0.0009121420511450702
1978-10-31,-0.017246050257738357
1978-11-30,0.02796045643538895
1978-12-31,0.016484915291500694
1979-01-31,5.288680217261418e-06
1979-02-28,0.01768043617030508
1979-03-31,0.008594574157235444
1979-04-30,0.02347498265848537
1979-05-31,0.01663226381588035
1979-06-30,0.010957332702052132
1979-07-31,-0.010366543457643622
1979-08-31,0.05072079082287018
1979-09-30,0.005230470423922981
1979-10-31,0.007991086860595494
1979-11-30,0.008323497160040237
1979-12-31,0.06263757324954826
1980-01-31,0.022108373066135632
1980-02-29,0.04036956269815262
1980-03-31,-0.10844214375373566
1980-04-30,-0.004944651851811232
1980-05-31,0.09530987984913328
1980-06-30,-0.004292779455403438
1980-07-31,-0.02131604058639622
1980-08-31,0.012642237610739186
1980-09-30,-0.03597049176394103
1980-10-31,0.0013111329683142617
1980-11-30,0.0026372700215151123
1980-12-31,0.04334472566380208
1981-01-31,0.03325324975943557
1981-02-28,0.04357309240706787
1981-03-31,0.014480527230545704
1981-04-30,0.04810110351168563
1981-05-31,0.0028513702748100616
1981-06-30,0.07563922885704154
1981-07-31,0.03129213984029763
1981-08-31,-0.029530427240485782
1981-09-30,0.04133365779995311
1981-10-31,0.0109869179857519
1981-11-30,0.024526430146510916
1981-12-31,0.04026232707903888
1982-01-31,0.052565399402012394
1982-02-28,0.05508644540058734
1982-03-31,0.012044439962105602
1982-04-30,0.054783240485995324
1982-05-31,0.08281343631367055
1982-06-30,0.02376484548567578
1982-07-31,-0.03724454911340295
1982-08-31,-0.011241945568904428
1982-09-30,0.059473290568457376
1982-10-31,-0.03693782339457864
1982-11-30,-0.02953002016537598
1982-12-31,0.025779673057973216
1983-01-31,-0.027167898634392562
1983-02-28,0.044858707421183815
1983-03-31,-0.017474249540091896
1983-04-30,-0.0041477077542487525
1983-05-31,-0.022020996350756054
1983-06-30,0.035015837603015666
1983-07-31,-0.005140672766753992
