date,strategy,period,ls_ret,ls_ret_gross,ls_ret_pre_capeff,long_ret,short_pnl,long_turnover,short_turnover,avg_turnover,n_long,n_short,mkt_ret,tc_cost_monthly,borrow_cost_monthly,rebate_monthly,net_financing_monthly,rf_rate,avg_fscore_long,avg_fscore_short,nav,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,ret_36m,vol_12m,vol_36m,max_dd_6m,max_dd_12m,max_dd_36m,sharpe_12m,sharpe_36m,sortino_12m,sortino_36m,calmar_12m,calmar_36m,hit_rate_3m,hit_rate_6m,hit_rate_12m
1962-01-01,A_Value,in_sample,1.7e-05,0.011275,2.5e-05,0.021306,-0.021281,1.0,1.0,1.0,14,1124,0.01517,0.01,0.00125,0.0,-0.00125,0.0,1.0,0.016014,1.000017,1.7e-05,1.7e-05,,,,,,,,,,,,,,,,1.0,,
1962-02-01,A_Value,in_sample,-0.021,-0.030223,-0.0315,-0.03632,0.00482,0.0,0.005329,0.002664,14,1126,-0.006468,2.7e-05,0.00125,0.0,-0.00125,0.0,1.0,0.016874,0.979016,-0.021,-0.020984,,,,,,,,,,,,,,,,0.5,,
1962-03-01,A_Value,in_sample,-0.005343,-0.005636,-0.008015,-0.075074,0.067059,0.222222,0.003559,0.11289,18,1124,-0.068416,0.001129,0.00125,0.0,-0.00125,0.0,0.944444,0.015125,0.973785,-0.005343,-0.026215,-0.026215,,,,,,-0.026231,,,,,,,,,0.333333,0.333333,
1962-04-01,A_Value,in_sample,-0.013158,-0.018186,-0.019736,-0.116286,0.09655,0.055556,0.004448,0.030002,18,1124,-0.098109,0.0003,0.00125,0.0,-0.00125,0.0,1.0,0.014235,0.960973,-0.013158,-0.039043,-0.039027,,,,,,-0.039043,,,,,,,,,0.0,0.25,
1962-05-01,A_Value,in_sample,0.000134,0.001465,0.000201,-0.083652,0.083853,0.0,0.002664,0.001332,18,1126,-0.085094,1.3e-05,0.00125,0.0,-0.00125,0.0,1.0,0.013321,0.961102,0.000134,-0.018298,-0.038898,,,,,,-0.039043,,,,,,,,,0.333333,0.4,
1962-06-01,A_Value,in_sample,-0.002484,-0.002454,-0.003726,0.061219,-0.064945,0.0,0.004448,0.002224,18,1124,0.063634,2.2e-05,0.00125,0.0,-0.00125,0.0,1.0,0.012456,0.958715,-0.002484,-0.015477,-0.041285,-0.041285,,,0.029279,,-0.041302,-0.041302,,-2.8576,,-2.866153,,-1.957952,,0.333333,0.333333,0.333333
1962-07-01,A_Value,in_sample,-0.016773,-0.022578,-0.025159,0.00502,-0.03018,0.26087,0.005357,0.133113,23,1120,0.028449,0.001331,0.00125,0.0,-0.00125,0.0,1.0,0.016071,0.942634,-0.016773,-0.019083,-0.057382,-0.057366,,,0.029648,,-0.037162,-0.057382,,-3.388641,,-3.398518,,-1.678506,,0.333333,0.166667,0.285714
1962-08-01,A_Value,in_sample,-0.010644,-0.009929,-0.015966,-0.076801,0.060835,0.52381,0.433538,0.478674,21,1956,-0.064358,0.004787,0.00125,0.0,-0.00125,0.0,1.0,0.010736,0.932601,-0.010644,-0.029655,-0.047411,-0.067399,,,0.02759,,-0.042294,-0.067415,,-3.765002,,-3.776229,,-1.474092,,0.0,0.166667,0.25
1962-09-01,A_Value,in_sample,0.016833,0.028359,0.02525,-0.013758,0.039008,0.36,0.011765,0.185882,25,1955,-0.039959,0.001859,0.00125,0.0,-0.00125,0.0,1.12,0.010742,0.9483,0.016833,-0.010863,-0.026172,-0.0517,,,0.039145,,-0.029655,-0.067415,,-1.785383,,-2.531094,,-1.013617,,0.333333,0.333333,0.333333
1962-10-01,A_Value,in_sample,0.004945,0.011089,0.007418,0.131263,-0.123845,0.46875,0.015377,0.242063,32,1951,0.122697,0.002421,0.00125,0.0,-0.00125,0.0,0.96875,0.015377,0.952989,0.004945,0.010985,-0.008308,-0.047011,,,0.038746,,-0.029655,-0.067415,,-1.470232,,-2.08138,,-0.832816,,0.666667,0.5,0.4
